"Druid","Purl","Title"
"dw559kr7002","https://purl.stanford.edu/dw559kr7002","Sonata B minor. 1st and 2nd movement"
"dx555xv9093","https://purl.stanford.edu/dx555xv9093","Moonlight sonata : C sharp minor. 1st & 2nd movements"
"dy191sv5188","https://purl.stanford.edu/dy191sv5188","Wiener Walzer"
"dz112ky5575","https://purl.stanford.edu/dz112ky5575","Symphonie Eroica. II. Satz"
"dz678wd2724","https://purl.stanford.edu/dz678wd2724","Berceuse op. 26, Nr. 7"
"fb100cb2366","https://purl.stanford.edu/fb100cb2366","Selections from ""Hansel & Gretel"""
"fb623cd1247","https://purl.stanford.edu/fb623cd1247","Si oiseau j'étais"
"fd660zf8362","https://purl.stanford.edu/fd660zf8362","Meistersinger von Nürnberg : Vorspiel"
"fd761bx2206","https://purl.stanford.edu/fd761bx2206","Années de pélerinage, III, no. 4 : les jeux d'eaux de la Villa d'Este"
"fg074rf2950","https://purl.stanford.edu/fg074rf2950","Am Meer"
"fg895gs1373","https://purl.stanford.edu/fg895gs1373","The yeomen of the guard, or the merry man and his maid"
"fh358rd2268","https://purl.stanford.edu/fh358rd2268","Sonata op. 35, B minor. Part 1"
"fj448by1666","https://purl.stanford.edu/fj448by1666","Tannhäuser-Marsch"
"fk036vh7282","https://purl.stanford.edu/fk036vh7282","Madam Butterfly : selection"
"fk269mx8427","https://purl.stanford.edu/fk269mx8427","Polonaise E minor, op. 46, no. 12"
"fk960pq3086","https://purl.stanford.edu/fk960pq3086","Casse noisette suite : op. 71, part 1"
"fm197wc9522","https://purl.stanford.edu/fm197wc9522","Manon : selection"
"fn111kx0654","https://purl.stanford.edu/fn111kx0654","Prélude op. 28, no. 20, c-Moll"
"fn744pq2157","https://purl.stanford.edu/fn744pq2157","Grande valse de concert : op. 47, D major"
"fr396nf3639","https://purl.stanford.edu/fr396nf3639","Madeleine : valse poetique"
"fr853pn6519","https://purl.stanford.edu/fr853pn6519","Polonaise op. 53, A flat"
"fr859hh7893","https://purl.stanford.edu/fr859hh7893","Dreaming : waltz"
"ft113cg5195","https://purl.stanford.edu/ft113cg5195","La fille de Madame Angot : (fantasie mosaïque)"
"ft746ns5736","https://purl.stanford.edu/ft746ns5736","Etude op. 25, no. 9, G flat"
"fv104hn7521","https://purl.stanford.edu/fv104hn7521","V. Hungarian rhapsody : (Heroide elegique)"
"fw547rc7021","https://purl.stanford.edu/fw547rc7021","Luna-Walzer : a. d. Operette ""Frau Luna"""
"fy803vj4057","https://purl.stanford.edu/fy803vj4057","Mazurka, no. 3"
"fz215xr4723","https://purl.stanford.edu/fz215xr4723","Sonata appassionata : op. 57, F Minor. 2nd and 3rd movements"
"fz632cv0288","https://purl.stanford.edu/fz632cv0288","Rhapsody, C major, op. 11, no. 3"
"gb034mq5877","https://purl.stanford.edu/gb034mq5877","Impromptu G major, op. 90, no. 3"
"gc795vb4435","https://purl.stanford.edu/gc795vb4435","Prelude op. 28, Nr. 15, D flat"
"gf160gq3516","https://purl.stanford.edu/gf160gq3516","Nocturne op. 9, no. 1, B-flat minor"
"gf569df0451","https://purl.stanford.edu/gf569df0451","Fantasia op. 17, C-major. Part 1"
"gg384dv5303","https://purl.stanford.edu/gg384dv5303","Nocturne H-Dur op. 32"
"gg920pz0818","https://purl.stanford.edu/gg920pz0818","Loves dream"
"gh208gz5033","https://purl.stanford.edu/gh208gz5033","Staccato caprice"
"gm170gy7498","https://purl.stanford.edu/gm170gy7498","Sonata appassionata, op. 57. Part 1"
"gm296rz0673","https://purl.stanford.edu/gm296rz0673","Sonate E-Dur, op. 2, no. 2. I. und II. Satz"
"gq401ng9171","https://purl.stanford.edu/gq401ng9171","Military march E-flat"
"gq898yv9510","https://purl.stanford.edu/gq898yv9510","Erlkönig"
"gq990gn6753","https://purl.stanford.edu/gq990gn6753","Rustle of spring : op. 32, no. 3"
"gr034qm4805","https://purl.stanford.edu/gr034qm4805","Carmen : selection"
"gr136pc5388","https://purl.stanford.edu/gr136pc5388","Symphony pathétique op. 74, no. 6, part III"
"gs012fx5529","https://purl.stanford.edu/gs012fx5529","Romeo and Juliette : potpourri"
"gs556hk6631","https://purl.stanford.edu/gs556hk6631","Nocturne op. 48, no. 1, C minor"
"gs573tj9547","https://purl.stanford.edu/gs573tj9547","Preludes op. 28, nos. 6 & 11"
"gx107hd3026","https://purl.stanford.edu/gx107hd3026","8th symphony B minor. 2nd movement : Andante con motto (unfinished)"
"gx118hr0306","https://purl.stanford.edu/gx118hr0306","Carillon"
"gy310qs3678","https://purl.stanford.edu/gy310qs3678","Sonata B minor, part 1"
"gz430tm0196","https://purl.stanford.edu/gz430tm0196","Harmonie du soir"
"hc229ht1024","https://purl.stanford.edu/hc229ht1024","Ballade op. 47, A flat major"
"hg174cq6672","https://purl.stanford.edu/hg174cq6672","II. Ungarische Rhapsodie"
"hg282mg9396","https://purl.stanford.edu/hg282mg9396","XII. Ungar. Rapsodie : (nach persönlicher Erinnerung an Liszt = (played by as Liszt)"
"hg709nf1997","https://purl.stanford.edu/hg709nf1997","Die Meistersinger von Nürnberg : Konzert-Paraphrase"
"hh095vc8073","https://purl.stanford.edu/hh095vc8073","Tannhäuser overture"
"hh429fw8081","https://purl.stanford.edu/hh429fw8081","Gnomenreigen"
"hh466mq4616","https://purl.stanford.edu/hh466mq4616","Rigaudon D-Dur"
"hj604wr7502","https://purl.stanford.edu/hj604wr7502","Potpourri aus ""Der fidele Bauer"""
"hk155fw7898","https://purl.stanford.edu/hk155fw7898","Schmetterling"
"hk752ck1008","https://purl.stanford.edu/hk752ck1008","Symphonic pathétic op. 74, no. 6, part II"
"hm136vg1420","https://purl.stanford.edu/hm136vg1420","Stucke, op. 119 : Intermezzo"
"hm373bm3807","https://purl.stanford.edu/hm373bm3807","Faust prelude"
"hm523dq5554","https://purl.stanford.edu/hm523dq5554","Don Juan : Fantasie"
"hn285vs3930","https://purl.stanford.edu/hn285vs3930","2nd sonata, op. 22, no. 2, G minor : scherzo, rondo, presto"
"hn488rk0690","https://purl.stanford.edu/hn488rk0690","Soiree de Vienne, no. 4"
"hq933dq4264","https://purl.stanford.edu/hq933dq4264","Liebes Walzer : op. 57 no. 5 = (Love's waltz)"
"hr679fk5315","https://purl.stanford.edu/hr679fk5315","Nazareth : sacred song"
"hs635sh6729","https://purl.stanford.edu/hs635sh6729","Hochzeitstag auf Troldhangen op. 65 no. 1"
"ht339gy6128","https://purl.stanford.edu/ht339gy6128","Symphonie Eroica. III. Satz"
"hx184ww0780","https://purl.stanford.edu/hx184ww0780","The harmonius blacksmith : E major, 5th suite = Le forgeron harmonieux"
"hx789sg2918","https://purl.stanford.edu/hx789sg2918","Die Jüdin"
"hy749gh2331","https://purl.stanford.edu/hy749gh2331","Schlummerlied"
"jb107tz1859","https://purl.stanford.edu/jb107tz1859","Kinderscenen. 1-6"
"jc718cb5784","https://purl.stanford.edu/jc718cb5784","Le retour"
"jd052zg1047","https://purl.stanford.edu/jd052zg1047","Nearer my God to Thee"
"jd143sb1087","https://purl.stanford.edu/jd143sb1087","Wonderful one : waltz song"
"jf649gs2184","https://purl.stanford.edu/jf649gs2184","Polonaise E major"
"jf938sf5847","https://purl.stanford.edu/jf938sf5847","Intermezzo op. 76, no. 2"
"jf942gh3232","https://purl.stanford.edu/jf942gh3232","Barcarole aus ""Hoffmann's Erzählungen"""
"jg699wz4435","https://purl.stanford.edu/jg699wz4435","Prolog a. Bajazzo"
"jg717nb8731","https://purl.stanford.edu/jg717nb8731","II. Ungarische Rhapsodie : mit Cadenz von Prof. H. Vetter"
"jh069yf5255","https://purl.stanford.edu/jh069yf5255","Waltz op. 64, no. 2, C-sharp minor"
"jh696my0069","https://purl.stanford.edu/jh696my0069","Poissons d'or"
"jj589sc7898","https://purl.stanford.edu/jj589sc7898","Cappriccio op. 76, no. 2"
"jk211zx0169","https://purl.stanford.edu/jk211zx0169","Abegg Varationen : op. 1"
"jk702cg2022","https://purl.stanford.edu/jk702cg2022","Frühlingslied"
"jk842rg9750","https://purl.stanford.edu/jk842rg9750","Sonate op. 103. III. und IV. Teil"
"jm300wy4714","https://purl.stanford.edu/jm300wy4714","Prelude op. 28, no. 18, F minor"
"jn038xx9588","https://purl.stanford.edu/jn038xx9588","Lohengrin. Bridal chorus"
"jn782fq7439","https://purl.stanford.edu/jn782fq7439","Rondo brillante op. 62"
"jq774vx6544","https://purl.stanford.edu/jq774vx6544","Militärmarsch in Es-Dur"
"jt036qh8967","https://purl.stanford.edu/jt036qh8967","Old black Joe : Old folks at home : (way upon the Swanee River)"
"jt308hp0877","https://purl.stanford.edu/jt308hp0877","Walzer : der tapfere Soldat"
"jv484vp9065","https://purl.stanford.edu/jv484vp9065","Impromptu op. 142, B-Dur"
"jw822wm2644","https://purl.stanford.edu/jw822wm2644","Butterfly : op. 43, no. 1"
"jx095ty1753","https://purl.stanford.edu/jx095ty1753","Sonate, A-Dur, Nr. 9"
"jy277ht0636","https://purl.stanford.edu/jy277ht0636","The last hope : (meditation réligieuse)"
"jy572md2211","https://purl.stanford.edu/jy572md2211","Piano-concert E major. 1st movement"
"kf903tz5142","https://purl.stanford.edu/kf903tz5142","Wanderer-Fantasie. 1st and 2nd movements"
"kg263bn9176","https://purl.stanford.edu/kg263bn9176","Waldstein sonata. (2nd movement)"
"kg488qt3887","https://purl.stanford.edu/kg488qt3887","2 préludes : op. 28, Nr. 1, C-Dur u. Nr. 21, B-Dur"
"kj344bw3083","https://purl.stanford.edu/kj344bw3083","An den Frühling : op. 43, no. 1 : (Lyrische Stücke)"
"kj388dj3308","https://purl.stanford.edu/kj388dj3308","Prelude op. 3, no. 2, C sharp minor"
"kp368nb7707","https://purl.stanford.edu/kp368nb7707","Man lives but once"
"kq525dc4373","https://purl.stanford.edu/kq525dc4373","Widmung = : (Devotion)"
"kq892pn7618","https://purl.stanford.edu/kq892pn7618","Grand valse de concert : op. 41"
"kr397bv2881","https://purl.stanford.edu/kr397bv2881","Sonate pathétique : op. 13, 3rd movement"
"kr645mg0298","https://purl.stanford.edu/kr645mg0298","Love land"
"ks452px2704","https://purl.stanford.edu/ks452px2704","Symphonie Eroica. IV. Satz"
"kt568yb8982","https://purl.stanford.edu/kt568yb8982","Village swallows"
"kt780tm7975","https://purl.stanford.edu/kt780tm7975","Valse op. 70"
"kt852zf4103","https://purl.stanford.edu/kt852zf4103","Carmens Lied : tralalala"
"kv550vj8954","https://purl.stanford.edu/kv550vj8954","La campanella : Paganini etude no. 3"
"kv601my2750","https://purl.stanford.edu/kv601my2750","Prelude, A flat major"
"kv921kh0629","https://purl.stanford.edu/kv921kh0629","Valse op. 69, no. 1, As-Dur"
"kw215gn3365","https://purl.stanford.edu/kw215gn3365","Cachoucha"
"kw738fg7467","https://purl.stanford.edu/kw738fg7467","Sonata op. 35. Funeralmarch and Presto"
"kx034vy1374","https://purl.stanford.edu/kx034vy1374","Fantasie op. 17, C-Dur. II. Satz"
"kx293yk2859","https://purl.stanford.edu/kx293yk2859","Theme and variations, F sharp minor"
"kx695yq4528","https://purl.stanford.edu/kx695yq4528","Toccata C major, op. 7"
"ky445sz4630","https://purl.stanford.edu/ky445sz4630","Soirée de Vienne. I [i.e., 2]"
"ky458kj7325","https://purl.stanford.edu/ky458kj7325","Ballade, op. 47, A major"
"kz379jn2491","https://purl.stanford.edu/kz379jn2491","Liebestraum"
"kz819wb8990","https://purl.stanford.edu/kz819wb8990","Sympathy : (waltz song) : from the comedy-opera ""The Firefly"""
"mb915gc4689","https://purl.stanford.edu/mb915gc4689","Ancienne melodie de la synagogue a. d. Präludien : op. 31"
"md331fy4209","https://purl.stanford.edu/md331fy4209","Ave Maria"
"md908xy8241","https://purl.stanford.edu/md908xy8241","Tango du rêve : (Traum Tango)"
"mf320jq4997","https://purl.stanford.edu/mf320jq4997","Träumerei"
"mf443ns5829","https://purl.stanford.edu/mf443ns5829","Rigoletto : (paraphrase)"
"mf940cg4339","https://purl.stanford.edu/mf940cg4339","Poupée valsante"
"mg285ps6787","https://purl.stanford.edu/mg285ps6787","Die Meistersinger von Nürnberg. Am stillen Herd zur Winterszeit"
"mh156nr8259","https://purl.stanford.edu/mh156nr8259","Sonata appassionata : op. 57, F minor. 1st movement"
"mh255vw4599","https://purl.stanford.edu/mh255vw4599","Norwegischer Brautzug im Vorüberziehen"
"mj416dn1432","https://purl.stanford.edu/mj416dn1432","Etude op. 10, no. 12 : (Revolutions-Etude)"
"mn110mt1775","https://purl.stanford.edu/mn110mt1775","Barcarole : (from Tales of Hoffman)"
"mr400mf6531","https://purl.stanford.edu/mr400mf6531","Dream daddy : fox-trot"
"ms935qj0194","https://purl.stanford.edu/ms935qj0194","La boheme : selection"
"mv259zt7103","https://purl.stanford.edu/mv259zt7103","Chant polonais. (Des Mädchens Wunsch)"
"mv647hz9361","https://purl.stanford.edu/mv647hz9361","Sergeant Percy : one-step"
"mw870hc7232","https://purl.stanford.edu/mw870hc7232","2nd symphony. Movements 2 & 3"
"mx460bt7026","https://purl.stanford.edu/mx460bt7026","XII Rhapsodie"
"mx599qs6329","https://purl.stanford.edu/mx599qs6329","Lied ohne Worte. Volkslied, No. 23"
"my670qk6863","https://purl.stanford.edu/my670qk6863","Hymns"
"mz508vq7890","https://purl.stanford.edu/mz508vq7890","Scherzo e-Moll"
"nf274ng7905","https://purl.stanford.edu/nf274ng7905","Nocturne op. 55, no. 2, E flat major"
"nf733yv1324","https://purl.stanford.edu/nf733yv1324","Valse op. 64, no. 2, cis-Moll"
"ng103jj1150","https://purl.stanford.edu/ng103jj1150","Liebestraum : Nocturn No. 3"
"nk632jz1564","https://purl.stanford.edu/nk632jz1564","Romance op. 28, No. 2, Fis-Dur"
"nn203bm7432","https://purl.stanford.edu/nn203bm7432","Tristan und Isolde. Vorspiel"
"np204br1080","https://purl.stanford.edu/np204br1080","Rigoletto : Fantasie"
"np829dt9039","https://purl.stanford.edu/np829dt9039","I. Ungarische Rhapsodie"
"nq190zp1066","https://purl.stanford.edu/nq190zp1066","Aïda : Fantasie"
"nq628rc4181","https://purl.stanford.edu/nq628rc4181","Nocturne op. 9, no. 2, E flat major"
"ns598kr8616","https://purl.stanford.edu/ns598kr8616","Tannhauser march"
"nt812xg8796","https://purl.stanford.edu/nt812xg8796","Castle house rag : one-step"
"nw765mr4994","https://purl.stanford.edu/nw765mr4994","British folkmusic. Settings Nr. 4, ""Shepherd's hey"""
"nx970yn7253","https://purl.stanford.edu/nx970yn7253","La traviata : fantasie"
"ny706rg1119","https://purl.stanford.edu/ny706rg1119","IX. Rhapsodie"
"ny937ph6981","https://purl.stanford.edu/ny937ph6981","Romance op. 38, no. 2"
"nz678zw1579","https://purl.stanford.edu/nz678zw1579","1. Sonata op. 74, B flat. 2nd movement, Andante"
"nz852nk6103","https://purl.stanford.edu/nz852nk6103","Thais, meditation"
"pb026mb0704","https://purl.stanford.edu/pb026mb0704","Kunstlerleben waltz : concert paraphrase"
"pc276zv7038","https://purl.stanford.edu/pc276zv7038","Samson and Delilah. Cantabile du grand duo"
"pc364sy7115","https://purl.stanford.edu/pc364sy7115","Graf von Luxemburg : Selektion I"
"pd354nj6106","https://purl.stanford.edu/pd354nj6106","God save the King : (national anthem)"
"pf050rx0162","https://purl.stanford.edu/pf050rx0162","Madam Butterfly : selektion"
"ph502kz9777","https://purl.stanford.edu/ph502kz9777","Arabesque C major op. 18"
"ph692rh6823","https://purl.stanford.edu/ph692rh6823","Symphonie Eroica. I. Satz"
"pj688nx2384","https://purl.stanford.edu/pj688nx2384","Scherzo b-Moll"
"pk349zj4179","https://purl.stanford.edu/pk349zj4179","Samson and Delilah. Finale, Act 1"
"pp798fc0175","https://purl.stanford.edu/pp798fc0175","All alone : waltz"
"pr464zk8674","https://purl.stanford.edu/pr464zk8674","Prélude D-Dur"
"ps108fn1431","https://purl.stanford.edu/ps108fn1431","La mattchiche"
"ps751km7125","https://purl.stanford.edu/ps751km7125","Rhapsodie hongroise : nach Sarasates Zigeunerweisen"
"ps931qh5746","https://purl.stanford.edu/ps931qh5746","Caprice E Dur"
"pv279zy5193","https://purl.stanford.edu/pv279zy5193","Sonata appassionata. II. u. III. Teil"
"py987gg6088","https://purl.stanford.edu/py987gg6088","Faust prelude"
"pz175wg5571","https://purl.stanford.edu/pz175wg5571","Préludes, op. 28, no. 1, C major, op. 28, no. 21, B flat"
"qb477sd2923","https://purl.stanford.edu/qb477sd2923","Improvisation on ""The maiden's prayer"""
"qd424rx3516","https://purl.stanford.edu/qd424rx3516","Three dances from Henry VIII"
"qd784zj3903","https://purl.stanford.edu/qd784zj3903","Romanze a. e-Moll Konzert. II. Satz"
"qf640sj3141","https://purl.stanford.edu/qf640sj3141","Concert e-Moll, op. 11. 1. Teil"
"qf751dd5412","https://purl.stanford.edu/qf751dd5412","Tannhauser overture"
"qg041hb4569","https://purl.stanford.edu/qg041hb4569","March grotesque"
"qg121rz6125","https://purl.stanford.edu/qg121rz6125","X. Rhapsodie"
"qj203cn5343","https://purl.stanford.edu/qj203cn5343","Polichenelle : op. 3, no. 4"
"qk333zc6515","https://purl.stanford.edu/qk333zc6515","Frühlingsrauschen : op. 32, no. 3"
"qk926qc7779","https://purl.stanford.edu/qk926qc7779","Was machst du mit dem Knie, lieber Hans? : paso doble"
"qm069fy5200","https://purl.stanford.edu/qm069fy5200","Symphony pathétique op. 74, no. 6, part IV"
"qp421cd7297","https://purl.stanford.edu/qp421cd7297","The chocolate soldier : selection 1"
"qp506dy4541","https://purl.stanford.edu/qp506dy4541","Du und Du : aus Fledermaus : Walzer"
"qq244fh1388","https://purl.stanford.edu/qq244fh1388","Polonaise op. 44, fis-Moll"
"qq914np5449","https://purl.stanford.edu/qq914np5449","X Ung. Rhapsodie"
"qt363fp0799","https://purl.stanford.edu/qt363fp0799","Nocturne op. 16, no. 4"
"qv334zb6243","https://purl.stanford.edu/qv334zb6243","Etude E-Dur, op. 10, no. 3"
"qv976bq3639","https://purl.stanford.edu/qv976bq3639","British folkmusic. Settings Nr. 6, Irish tune from County Derry"
"qw257qp8232","https://purl.stanford.edu/qw257qp8232","Symphonische Etüde"
"qz671pq0609","https://purl.stanford.edu/qz671pq0609","Sonate C-Dur, op. 53 : (Waldstein). 1. Teil"
"rb625rv7300","https://purl.stanford.edu/rb625rv7300","Etude no. 3, Des-Dur"
"rb861vm6094","https://purl.stanford.edu/rb861vm6094","Sonate E-Dur, op. 2, no. 2. III. und IV. Satz"
"rc749wx0227","https://purl.stanford.edu/rc749wx0227","Militär-Marsch = : (Military march)"
"rd899zb5188","https://purl.stanford.edu/rd899zb5188","Play that song of India again : fox-trot-song after ""Korsakow's Sadko"""
"rf416pb7833","https://purl.stanford.edu/rf416pb7833","Zauberlied"
"rg591sj4242","https://purl.stanford.edu/rg591sj4242","Toccata"
"rg931dy5023","https://purl.stanford.edu/rg931dy5023","Faust Reminiscenzen a. d. III. und IV. Akt"
"rh801bs4556","https://purl.stanford.edu/rh801bs4556","The gondoliers, or the King of Barataria"
"rj799hj0968","https://purl.stanford.edu/rj799hj0968","Nocturne G major, op. 37, no. 2"
"rk591jt8964","https://purl.stanford.edu/rk591jt8964","Sonata F minor, op. 5, 1st movement"
"rk796xd9697","https://purl.stanford.edu/rk796xd9697","II. Rhapsodie"
"rn154dd5329","https://purl.stanford.edu/rn154dd5329","An der schönen blauen Donau"
"rp146dk0477","https://purl.stanford.edu/rp146dk0477","Am stillen Herd zur Winterszeit : a. die Meistersinger von Nürnberg"
"rp390kt0160","https://purl.stanford.edu/rp390kt0160","Nocturne Des-Dur, op. 27, no. 2"
"rq642tt1626","https://purl.stanford.edu/rq642tt1626","A Canadian rondo : a passing-fancy"
"rq927dq9061","https://purl.stanford.edu/rq927dq9061","Nocturne. No. 1, ""Hohe Liebe"""
"rr990ym0199","https://purl.stanford.edu/rr990ym0199","Tosca, fantasia"
"rs765sm2000","https://purl.stanford.edu/rs765sm2000","Thaïs : fantasia mosaïc"
"rt308hy9235","https://purl.stanford.edu/rt308hy9235","Traumscene a. Hänsel und Gretel"
"rt595wj4442","https://purl.stanford.edu/rt595wj4442","Klavierconcert a-Moll, op. 54. Allegro affectuoso, allegro molto"
"rv703vf3503","https://purl.stanford.edu/rv703vf3503","Song of the boatmen of the Volga = : (Schifferlied auf der Wolga)"
"rv766dc1369","https://purl.stanford.edu/rv766dc1369","Symphony pathétique op. 74, no. 6, part I"
"rv790qz2532","https://purl.stanford.edu/rv790qz2532","Sei mir gut : Walzerlied"
"rx933wn3761","https://purl.stanford.edu/rx933wn3761","Automne : op. 35, no. 2"
"ry050yb9492","https://purl.stanford.edu/ry050yb9492","Die Keusche Susanna : Potpourri"
"ry948sf9078","https://purl.stanford.edu/ry948sf9078","II. Legende. Der hl. Franziskus über die Wogen schreitend"
"sb158jt0685","https://purl.stanford.edu/sb158jt0685","William Tell. Overture"
"sb487jm2092","https://purl.stanford.edu/sb487jm2092","Nocturno op. 16, no. 4"
"sc188ff2842","https://purl.stanford.edu/sc188ff2842","The Erl King"
"sc787kg5664","https://purl.stanford.edu/sc787kg5664","Si oiseau j'étais"
"sg713kb1834","https://purl.stanford.edu/sg713kb1834","Carry me back to ole Virginny"
"sj250cc6451","https://purl.stanford.edu/sj250cc6451","Rosen a. d. Süden"
"sj582bt2976","https://purl.stanford.edu/sj582bt2976","Faust : Selection I"
"sj617nc3041","https://purl.stanford.edu/sj617nc3041","Si j'étais roi. Ouverture"
"sk293jg8184","https://purl.stanford.edu/sk293jg8184","2nd sonata, op. 22, no. 2, G minor. Adantino"
"sk565bp3463","https://purl.stanford.edu/sk565bp3463","Wiener Blut : Walzer"
"sk832rf0203","https://purl.stanford.edu/sk832rf0203","Der Wanderer"
"sk925fn6049","https://purl.stanford.edu/sk925fn6049","Prelude für die linke Hand"
"sm246yb9650","https://purl.stanford.edu/sm246yb9650","Polonaise A flat major, op. 53"
"sn610pr8684","https://purl.stanford.edu/sn610pr8684","Preludes. No. 3, G major ; No. 6, B minor"
"sp773vt2651","https://purl.stanford.edu/sp773vt2651","Carnaval mignon : scènes pantomimiques : op. 48"
"sq235zh0909","https://purl.stanford.edu/sq235zh0909","Dein gedenk ich, Margarethe"
"sq640bh1919","https://purl.stanford.edu/sq640bh1919","Etude E flat major"
"sr504pc8797","https://purl.stanford.edu/sr504pc8797","Lohengrin. Elsa's bridal procession"
"sr577gv4813","https://purl.stanford.edu/sr577gv4813","Rigoletto : fantasia"
"st011pr3757","https://purl.stanford.edu/st011pr3757","Waldesrauschen : 1st concert étude"
"st755cm2486","https://purl.stanford.edu/st755cm2486","Etude op. 10, no. 5, Ges-Dur"
"st828pc9818","https://purl.stanford.edu/st828pc9818","Nocturne op. 37, no. 2, G major"
"sv842td3290","https://purl.stanford.edu/sv842td3290","Delirien-Walzer"
"sw740gd4329","https://purl.stanford.edu/sw740gd4329","Largo"
"sx275gw8801","https://purl.stanford.edu/sx275gw8801","Tea for two : fox-trot"
"sx417qf9868","https://purl.stanford.edu/sx417qf9868","Ave Maria"
"sz207mm8382","https://purl.stanford.edu/sz207mm8382","Etude de concert E flat"
"tb707nd8515","https://purl.stanford.edu/tb707nd8515","Widmung"
